編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLNKQHJGFCE18CC,43,67.63,,鋼筋混凝土造,70年12月5日,五層,,
RPPNMLNKQHJGFCE18CC,43,13.63,,鋼筋混凝土造,70年12月5日,五層,,
RPRNMLNKQHJGFCE38CC,43,55.54,,鋼筋混凝土造,70年12月21日,十二層,,
RPRNMLNKQHJGFCE38CC,43,11.75,,鋼筋混凝土造,70年12月21日,十二層,,
RPUNMLNKQHJGFCE68CC,45,70.80,住宅,鋼筋混凝土造,68年4月20日,四層,,
RPRNMLNKQHJGFDE48CC,45,14.97,,鋼筋混凝土造,68年4月27日,五層,,
RPSNMLNKQHJGFCE48CC,27,665.32,工業用,鋼骨造,86年11月27日,一層,,
RPTNMLNKQHJGFCE58CC,6,54.26,集合住宅,鋼筋混凝土,107年6月20日,十六層,,
RPTNMLNKQHJGFCE58CC,6,15.36,本共有部分之項目有梯廳、樓梯間、水箱、機械室等４項。,鋼筋混凝土,107年6月20日,十六層,,
RPTNMLNKQHJGFCE58CC,6,38.41,本共有部分之項目有防空避難室兼停車空間、梯廳、車道、警衛室、管委會使用空間等５項。,鋼筋混凝土,107年6月20日,十六層,,
RPQNMLNKQHJGFDE38CC,43,89.02,,鋼筋混凝土造,70年6月1日,五層,,
RPUNMLNKQHJGFDE78CC,34,26.44,,鋼筋混凝土造,79年4月9日,七層,,
RPSNMLNKQHJGFDE58CC,31,26.25,住家用,鋼筋混凝土造,82年12月8日,五層,,
RPTNMLNKQHJGFDE68CC,34,29.75,,鋼筋混凝土造,79年4月9日,七層,,
RPVNMLNKQHJGFDE88CC,17,17.09,住家用,鋼筋混凝土造,96年4月30日,五層,,
RPVNMLNKQHJGFDE88CC,17,6.12,停車空間、樓梯間、機械室、水箱,鋼筋混凝土造,96年4月30日,五層,,
RPWNMLNKQHJGFDE98CC,41,24.97,,鋼筋混凝土造,72年11月26日,十二層,,
RPOOMLNKQHJGFDE28CC,43,28.41,,鋼筋混凝土造,70年12月22日,十二層,,
RPWNMLNKQHJGFDE98CC,41,7.87,,鋼筋混凝土造,72年11月26日,十二層,,
RPOOMLNKQHJGFDE28CC,43,6.36,,鋼筋混凝土造,70年12月22日,十二層,,
RPQOMLNKQHJGFDE48CC,43,30.64,,鋼筋混凝土造,70年6月5日,十二層,,
RPQOMLNKQHJGFDE48CC,43,6.30,,鋼筋混凝土造,70年6月5日,十二層,,
RPROMLNKQHJGFDE58CC,3,53.21,集合住宅,鋼筋混凝土,110年7月26日,二十二層,,
RPROMLNKQHJGFDE58CC,3,36.51,本共有部分之項目有防空避難室兼停車空間、停車空間、梯廳、特安梯、排煙室、緊急升降機、管道、防災中心、車道、緩衝空間、廁所、垃圾暫存室、管委會使用空間、頂蓋型開放空間、升降機、門廊、警衛室、伸縮縫、樓梯間、陽台等項。,鋼筋混凝土,110年7月26日,二十二層,,
RPPOMLNKQHJGFDE38CC,25,142.90,住商用,鋼筋混凝土造,88年9月30日,十六層,,
RPXNMLNKQHJGFDE09CC,1,51.46,集合住宅,鋼筋混凝土,112年7月19日,十八層,,
RPPOMLNKQHJGFDE38CC,25,33.42,見使用執照,鋼筋混凝土造,88年9月30日,十六層,,
